url,given_name,surname,birth_date,citizenship,qualified_by,career_wins,career_prize_money
https://more.arrs.run/runner/1661,Paula,Radcliffe,17 Dec 1973,England,Time,116,"$2,236,415"
https://more.arrs.run/runner/15438,Mary,Keitany,18 Jan 1982,Kenya,Time,40,"$2,784,925"
https://more.arrs.run/runner/16166,Tirunesh,Dibaba,01 Jun 1985,Ethiopia,Time,87,"$1,242,156"
https://more.arrs.run/runner/1580,Catherine,Ndereba,21 Jul 1972,Kenya,Time,126,"$1,795,284"
https://more.arrs.run/runner/24567,Tiki,Gelana,22 Oct 1987,Ethiopia,Time,11,"$81,430"
https://more.arrs.run/runner/6169,Mizuki,Noguchi,03 Jul 1978,Japan,Time,41,"$164,427"
https://more.arrs.run/runner/5460,Irina,Mikitenko,23 Aug 1972,"Germany
Kazakistan (until 31 Mar 1997)",Time,73,"$2,048,595"
https://more.arrs.run/runner/24031,Gladys,Cherono,12 May 1983,Kenya,Time,39,"$463,505"
https://more.arrs.run/runner/918,Aselefech,Mergia,23 Jan 1985,Ethiopia,Time,10,"$1,179,544"
https://more.arrs.run/runner/16955,Lucy,Kabuu,24 Mar 1984,Kenya,Time,46,"$347,030"
https://more.arrs.run/runner/2422,Deena,Kastor,14 Feb 1973,United States,Time,64,"$1,131,581"
https://more.arrs.run/runner/6306,Ying-jie,Sun,19 Jan 1979,China,Time,30,"$187,427"
https://more.arrs.run/runner/6433,Yoko,Shibui,14 Mar 1979,Japan,Time,41,"$214,717"
https://more.arrs.run/runner/27997,Tirfe,Beyene,25 Nov 1984,Ethiopia,Time,7,"$904,855"
https://more.arrs.run/runner/431,Florence,Chebet,27 Feb 1987,Kenya,Time,35,"$762,855"
https://more.arrs.run/runner/1787,Naoko,Takahashi,06 May 1972,Japan,Time,23,"$170,040"
https://more.arrs.run/runner/27500,Sarah,Chepchirchir,27 Jul 1984,Kenya,Time,62,"$150,230"
https://more.arrs.run/runner/6697,Edna,Kiplagat,15 Nov 1979,Kenya,Time,33,"$2,338,231"
https://more.arrs.run/runner/10816,Chun-xiu,Zhou,08 Mar 1979,China,Time,13,"$267,267"
https://more.arrs.run/runner/27424,Mare,Dibaba,20 Oct 1989,"Ethiopia
Azerbaijan (until 31 Jan 2010)
Ethiopia (until 28 Feb 2009)",Time,18,"$665,075"
https://more.arrs.run/runner/7885,Rita,Cheptoo,15 Feb 1981,Kenya,Time,48,"$796,024"
https://more.arrs.run/runner/23704,Bizunesh,Deba,08 Sep 1987,Ethiopia,Time,43,"$684,400"
https://more.arrs.run/runner/7769,Priscilla,Cheptoo,24 Jun 1984,Kenya,Time,23,"$1,043,842"
https://more.arrs.run/runner/41889,Brigid,Jepchirchir,20 Feb 1994,Kenya,Time,9,"$199,115"
https://more.arrs.run/runner/29576,Feyissa,Tadese,19 Nov 1988,Ethiopia,Time,10,"$353,505"
https://more.arrs.run/runner/20455,Bizunesh,Bekele,29 Jan 1983,Ethiopia,Time,11,"$636,508"
https://more.arrs.run/runner/16388,Aberu,Kebede,12 Sep 1986,Ethiopia,Time,17,"$665,595"
https://more.arrs.run/runner/25450,Jemima,Sumgong,21 Dec 1984,Kenya,Time,23,"$540,723"
https://more.arrs.run/runner/34829,Hirut,Aga,16 Jan 1994,Ethiopia,Time,7,"$96,618"
https://more.arrs.run/runner/34179,Dennis,Kipruto,22 Jan 1984,Kenya,Time,7,"$623,435"
https://more.arrs.run/runner/27429,Geoffrey,Mutai,07 Oct 1981,Kenya,Time,30,"$1,369,855"
https://more.arrs.run/runner/11054,Kenenisa,Bekele,13 Jun 1982,Ethiopia,Time,116,"$1,889,563"
https://more.arrs.run/runner/19130,Eliud,Kipchoge,05 Nov 1984,Kenya,Time,69,"$2,112,540"
https://more.arrs.run/runner/19487,Moses,Mosop,17 Jul 1985,Kenya,Time,23,"$397,434"
https://more.arrs.run/runner/10815,Wilson,Kipsang,15 Mar 1982,Kenya,Time,28,"$2,024,940"
https://more.arrs.run/runner/26049,Emanuel,Mutai,12 Oct 1984,Kenya,Time,6,"$1,485,522"
https://more.arrs.run/runner/4,Patrick,Makau,02 Mar 1985,Kenya,Time,31,"$435,880"
https://more.arrs.run/runner/38639,Guye,Adola,20 Oct 1990,Ethiopia,Time,4,"$92,395"
https://more.arrs.run/runner/893,Stanley,Kipleting,21 Apr 1986,Kenya,Time,22,"$736,170"
https://more.arrs.run/runner/319,Haile,Gebrselassie,18 Apr 1973,Ethiopia,Time,142,"$3,549,398"
https://more.arrs.run/runner/37655,Tamrat,Tola,11 Aug 1991,Ethiopia,Time,9,"$294,305"
https://more.arrs.run/runner/20679,Ayele,Abshiro,28 Dec 1990,Ethiopia,Time,9,"$393,640"
https://more.arrs.run/runner/34439,Tesfaye,Abera,31 Mar 1992,Ethiopia,Time,4,"$297,590"
https://more.arrs.run/runner/16973,Duncan,Kibet,25 Apr 1978,Kenya,Time,22,"$126,455"
https://more.arrs.run/runner/18793,James,Kwambai,28 Feb 1983,Kenya,Time,23,"$595,500"
https://more.arrs.run/runner/9293,Sammy,Kitwara,26 Nov 1986,Kenya,Time,35,"$900,215"
https://more.arrs.run/runner/36078,Tsegay,Mekonen,15 Jun 1995,Ethiopia,Time,7,"$329,050"
https://more.arrs.run/runner/31608,Dickson,Kiptolo,27 Oct 1986,Kenya,Time,6,"$483,595"
https://more.arrs.run/runner/39117,Lemi,Berhanu,13 Sep 1994,Ethiopia,Time,6,"$514,135"
https://more.arrs.run/runner/13063,Tsegay,Kebede,15 Jan 1987,Ethiopia,Time,14,"$1,626,205"
https://more.arrs.run/runner/27554,Lelisa,Desisa,14 Jan 1990,Ethiopia,Time,20,"$1,056,445"
https://more.arrs.run/runner/28007,Yemane,Adhane,08 Apr 1985,Ethiopia,Time,9,"$426,115"
https://more.arrs.run/runner/31894,Berhanu,Shiferaw,31 May 1993,Ethiopia,Time,2,"$148,230"
https://more.arrs.run/runner/26671,Tadese,Tola,31 Oct 1987,Ethiopia,Time,17,"$510,138"
https://more.arrs.run/runner/20681,Dino,Sefir,28 May 1988,Ethiopia,Time,8,"$176,950"
https://more.arrs.run/runner/28307,Getu,Feleke,28 Nov 1986,Ethiopia,Time,2,"$40,180"
https://more.arrs.run/runner/20674,Feyisa,Lelisa,01 Feb 1990,Ethiopia,Time,12,"$570,190"
https://more.arrs.run/runner/35302,Negesse,Endeshaw,13 Mar 1988,Ethiopia,Time,3,"$103,190"
https://more.arrs.run/runner/19066,Gebre,Gebremariam,10 Sep 1984,Ethiopia,Time,33,"$615,947"
